No-Terminal,SEMICOLON,FUNCTION,IDENT,LPAREN,RPAREN,TYPE,LBRACE,RBRACE,INHERITS,ASSIGN,ARROW,COMMA,WHILE,FOR,IN,LET,COLON,IF,ELSE,ELIF,OR,AND,LT,GT,LE,GE,EQ,NEQ,IS,CONCAT,CONCAT_WS,PLUS,MINUS,MULT,DIV,MOD,POW,AS,NUMBER,STRING,TRUE,FALSE,NEW,SELF,BASE,DOT,ASSIGN_DESTRUCT,$
Program,,"Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program",,"Program -> TopLevel Program","Program -> TopLevel Program",,,,,,"Program -> TopLevel Program","Program -> TopLevel Program",,"Program -> TopLevel Program",,"Program -> TopLevel Program",,,,,,,,,,,,,,,"Program -> TopLevel Program",,,,,,"Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program","Program -> TopLevel Program",,,"Program -> ε"
TopLevel,,"TopLevel -> FunctionDef","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt",,"TopLevel -> TypeDef","TopLevel -> TerminatedStmt",,,,,,"TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt",,"TopLevel -> TerminatedStmt",,"TopLevel -> TerminatedStmt",,,,,,,,,,,,,,,"TopLevel -> TerminatedStmt",,,,,,"TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt","TopLevel -> TerminatedStmt",,,
FunctionDef,,"FunctionDef -> FUNCTION IDENT LPAREN ArgIdList RPAREN TypeAnnotation FunctionBody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeDef,,,,,,"TypeDef -> TYPE IDENT TypeParams TypeInheritance LBRACE TypeBody RBRACE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TerminatedStmt,,,"TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON",,,"TerminatedStmt -> Stmt SEMICOLON",,,,,,"TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON",,"TerminatedStmt -> Stmt SEMICOLON",,"TerminatedStmt -> Stmt SEMICOLON",,,,,,,,,,,,,,,"TerminatedStmt -> Stmt SEMICOLON",,,,,,"TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON","TerminatedStmt -> Stmt SEMICOLON",,,
Stmt,,,"Stmt -> Expr","Stmt -> Expr",,,"Stmt -> BlockStmt",,,,,,"Stmt -> WhileStmt","Stmt -> ForStmt",,"Stmt -> Expr",,"Stmt -> Expr",,,,,,,,,,,,,,,"Stmt -> Expr",,,,,,"Stmt -> Expr","Stmt -> Expr","Stmt -> Expr","Stmt -> Expr","Stmt -> Expr","Stmt -> Expr","Stmt -> Expr",,,
Expr,,,"Expr -> OrExpr","Expr -> OrExpr",,,,,,,,,,,,"Expr -> LetExpr",,"Expr -> IfExpr",,,,,,,,,,,,,,,"Expr -> OrExpr",,,,,,"Expr -> OrExpr","Expr -> OrExpr","Expr -> OrExpr","Expr -> OrExpr","Expr -> OrExpr","Expr -> OrExpr","Expr -> OrExpr",,,
WhileStmt,,,,,,,,,,,,,"WhileStmt -> WHILE Expr WhileBody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForStmt,,,,,,,,,,,,,,"ForStmt -> FOR LPAREN IDENT IN Expr RPAREN ForBody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockStmt,,,,,,,"BlockStmt -> LBRACE StmtList RBRACE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArgIdList,,,"ArgIdList -> ArgId ArgIdListTail",,"ArgIdList -> ε",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeAnnotation,"TypeAnnotation -> ε",,,,"TypeAnnotation -> ε",,"TypeAnnotation -> ε",,,"TypeAnnotation -> ε","TypeAnnotation -> ε","TypeAnnotation -> ε",,,,,"TypeAnnotation -> COLON IDENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionBody,,,,,,,"FunctionBody -> BlockStmt",,,,"FunctionBody -> ARROW Expr SEMICOLON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeParams,,,,"TypeParams -> LPAREN ArgIdList RPAREN",,,"TypeParams -> ε",,"TypeParams -> ε",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeInheritance,,,,,,,"TypeInheritance -> ε",,"TypeInheritance -> INHERITS IDENT TypeBaseArgs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeBody,,,"TypeBody -> TypeMember TypeBody",,,,,"TypeBody -> ε",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TypeBaseArgs,,,,"TypeBaseArgs -> LPAREN ArgList RPAREN",,,"TypeBaseArgs -> ε",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
